Error,ErrorShort,Description
AADSTS65002,Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization,Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API. A developer in your tenant may be attempting to reuse an App ID owned by Microsoft. This error prevents them from impersonating a Microsoft application to call other APIs. They must move to another app ID they register in https://portal.azure.com.
AADSTS65004,UserDeclinedConsent,UserDeclinedConsent - User declined to consent to access the app. Have the user retry the sign-in and consent to the app
AADSTS65005,MisconfiguredApplication,"MisconfiguredApplication - The app required resource access list does not contain apps discoverable by the resource or The client app has requested access to resource, which was not specified in its required resource access list or Graph service returned bad request or resource not found. If the app supports SAML, you may have configured the app with the wrong Identifier (Entity). To learn more, see the troubleshooting article for error AADSTS650056."
AADSTS650052,"The app needs access to a service (\""{name}\"") that your organization \""{organization}\"" has not subscribed to or enabled","The app needs access to a service (\""{name}\"") that your organization \""{organization}\"" has not subscribed to or enabled. Contact your IT Admin to review the configuration of your service subscriptions."
AADSTS650054,The application asked for permissions to access a resource that has been removed or is no longer available,The application asked for permissions to access a resource that has been removed or is no longer available. Make sure that all resources the app is calling are present in the tenant you are operating in.
AADSTS650056,Misconfigured application,"Misconfigured application. This could be due to one of the following: the client has not listed any permissions for '{name}' in the requested permissions in the client's application registration. Or, the admin has not consented in the tenant. Or, check the application identifier in the request to ensure it matches the configured client application identifier. Or, check the certificate in the request to ensure it's valid. Please contact your admin to fix the configuration or consent on behalf of the tenant. Client app ID: {id}. Please contact your admin to fix the configuration or consent on behalf of the tenant."
AADSTS650057,Invalid resource,Invalid resource. The client has requested access to a resource which is not listed in the requested permissions in the client's application registration. Client app ID: {appId}({appName}). Resource value from request: {resource}. Resource app ID: {resourceAppId}. List of valid resources from app registration: {regList}.
AADSTS67003,ActorNotValidServiceIdentity,ActorNotValidServiceIdentity
AADSTS70000,InvalidGrant,InvalidGrant - Authentication failed. The refresh token is not valid. Error may be due to the following reasons:
AADSTS700005,InvalidGrantRedeemAgainstWrongTenant,"InvalidGrantRedeemAgainstWrongTenant - Provided Authorization Code is intended to use against other tenant, thus rejected. OAuth2 Authorization Code must be redeemed against same tenant it was acquired for (/common or /{tenant-ID} as appropriate)"
AADSTS70001,UnauthorizedClient,"UnauthorizedClient - The application is disabled. To learn more, see the troubleshooting article for error AADSTS70001."
AADSTS7000112,UnauthorizedClientApplicationDisabled,UnauthorizedClientApplicationDisabled - The application is disabled.
AADSTS7000114,Application 'appIdentifier' is not allowed to make application on,Application 'appIdentifier' is not allowed to make application on-behalf-of calls.
AADSTS700016,UnauthorizedClient_DoesNotMatchRequest,UnauthorizedClient_DoesNotMatchRequest - The application wasn't found in the directory/tenant. This can happen if the application has not been installed by the administrator of the tenant or consented to by any user in the tenant. You might have misconfigured the identifier value for the application or sent your authentication request to the wrong tenant.
AADSTS70002,InvalidClient,"InvalidClient - Error validating the credentials. The specified client_secret does not match the expected value for this client. Correct the client_secret and try again. For more info, see Use the authorization code to request an access token."
AADSTS700020,InteractionRequired,InteractionRequired - The access grant requires interaction.
AADSTS7000215,Invalid client secret is provided,Invalid client secret is provided. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
AADSTS700022,InvalidMultipleResourcesScope,InvalidMultipleResourcesScope - The provided value for the input parameter scope isn't valid because it contains more than one resource.
AADSTS7000222,InvalidClientSecretExpiredKeysProvided,"InvalidClientSecretExpiredKeysProvided - The provided client secret keys are expired. Visit the Azure portal to create new keys for your app, or consider using certificate credentials for added security: https://aka.ms/certCreds"
AADSTS700023,InvalidResourcelessScope,InvalidResourcelessScope - The provided value for the input parameter scope isn't valid when request an access token.
AADSTS70003,UnsupportedGrantType,UnsupportedGrantType - The app returned an unsupported grant type.
AADSTS700030,Invalid certificate,Invalid certificate - subject name in certificate is not authorized. SubjectNames/SubjectAlternativeNames (up to 10) in token certificate are: {certificateSubjects}.
AADSTS70004,InvalidRedirectUri,InvalidRedirectUri - The app returned an invalid redirect URI. The redirect address specified by the client does not match any configured addresses or any addresses on the OIDC approve list.
AADSTS70005,UnsupportedResponseType,UnsupportedResponseType - The app returned an unsupported response type due to the following reasons:
AADSTS700054,Response_type 'id_token' is not enabled for the application,"Response_type 'id_token' is not enabled for the application. The application requested an ID token from the authorization endpoint, but did not have ID token implicit grant enabled. Go to Azure Portal > Azure Active Directory > App registrations > Select your application > Authentication > Under 'Implicit grant and hybrid flows', make sure 'ID tokens' is selected."
AADSTS70007,UnsupportedResponseMode,UnsupportedResponseMode - The app returned an unsupported value of response_mode when requesting a token.
AADSTS70008,ExpiredOrRevokedGrant,ExpiredOrRevokedGrant - The refresh token has expired due to inactivity. The token was issued on XXX and was inactive for a certain amount of time.
AADSTS700084,"The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which cannot be extended","The refresh token was issued to a single page app (SPA), and therefore has a fixed, limited lifetime of {time}, which cannot be extended. It is now expired and a new sign in request must be sent by the SPA to the sign in page. The token was issued on {issueDate}."
AADSTS70011,InvalidScope,InvalidScope - The scope requested by the app is invalid.
AADSTS70012,MsaServerError,"MsaServerError - A server error occurred while authenticating an MSA (consumer) user. Try again. If it continues to fail, open a support ticket "
AADSTS70016,AuthorizationPending,AuthorizationPending - OAuth 2.0 device flow error. Authorization is pending. The device will retry polling the request.
AADSTS70018,BadVerificationCode,BadVerificationCode - Invalid verification code due to User typing in wrong user code for device code flow. Authorization is not approved.
AADSTS70019,CodeExpired,CodeExpired - Verification code expired. Have the user retry the sign-in.
AADSTS70043,The refresh token has expired or is invalid due to sign,The refresh token has expired or is invalid due to sign-in frequency checks by conditional access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}.
AADSTS75001,BindingSerializationError,BindingSerializationError - An error occurred during SAML message binding.
AADSTS75003,UnsupportedBindingError,UnsupportedBindingError - The app returned an error related to unsupported binding (SAML protocol response cannot be sent via bindings other than HTTP POST).
AADSTS75005,Saml2MessageInvalid,"Saml2MessageInvalid - Azure AD doesn’t support the SAML request sent by the app for SSO. To learn more, see the troubleshooting article for error AADSTS75005."
AADSTS7500514,A supported type of SAML response was not found,A supported type of SAML response was not found. The supported response types are 'Response' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:protocol') or 'Assertion' (in XML namespace 'urn:oasis:names:tc:SAML:2.0:assertion'). Application error - the developer will handle this error.
AADSTS7500529,The value ‘SAMLId,"The value ‘SAMLId-Guid’ is not a valid SAML ID - Azure AD uses this attribute to populate the InResponseTo attribute of the returned response. ID must not begin with a number, so a common strategy is to prepend a string like ""id"" to the string representation of a GUID. For example, id6c1c178c166d486687be4aaf5e482730 is a valid ID."
AADSTS750054,SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding,"SAMLRequest or SAMLResponse must be present as query string parameters in HTTP request for SAML Redirect binding. To learn more, see the troubleshooting article for error AADSTS750054."
AADSTS75008,RequestDeniedError,RequestDeniedError - The request from the app was denied since the SAML request had an unexpected destination.
AADSTS75011,NoMatchedAuthnContextInOutputClaims,"NoMatchedAuthnContextInOutputClaims - The authentication method by which the user authenticated with the service doesn't match requested authentication method. To learn more, see the troubleshooting article for error AADSTS75011."
AADSTS75016,Saml2AuthenticationRequestInvalidNameIDPolicy,Saml2AuthenticationRequestInvalidNameIDPolicy - SAML2 Authentication Request has invalid NameIdPolicy.
AADSTS80001,OnPremiseStoreIsNotAvailable,OnPremiseStoreIsNotAvailable - The Authentication Agent is unable to connect to Active Directory. Make sure that agent servers are members of the same AD forest as the users whose passwords need to be validated and they are able to connect to Active Directory.
AADSTS80002,OnPremisePasswordValidatorRequestTimedout,OnPremisePasswordValidatorRequestTimedout - Password validation request timed out. Make sure that Active Directory is available and responding to requests from the agents.
AADSTS80005,OnPremisePasswordValidatorUnpredictableWebException,"OnPremisePasswordValidatorUnpredictableWebException - An unknown error occurred while processing the response from the Authentication Agent. Retry the request. If it continues to fail, open a support ticket to get more details on the error."
AADSTS80007,OnPremisePasswordValidatorErrorOccurredOnPrem,OnPremisePasswordValidatorErrorOccurredOnPrem - The Authentication Agent is unable to validate user's password. Check the agent logs for more info and verify that Active Directory is operating as expected.
AADSTS80010,OnPremisePasswordValidationEncryptionException,OnPremisePasswordValidationEncryptionException - The Authentication Agent is unable to decrypt password.
AADSTS80012,OnPremisePasswordValidationAccountLogonInvalidHours,OnPremisePasswordValidationAccountLogonInvalidHours - The users attempted to log on outside of the allowed hours (this is specified in AD).
AADSTS80013,OnPremisePasswordValidationTimeSkew,OnPremisePasswordValidationTimeSkew - The authentication attempt could not be completed due to time skew between the machine running the authentication agent and AD. Fix time sync issues.
AADSTS81004,DesktopSsoIdentityInTicketIsNotAuthenticated,DesktopSsoIdentityInTicketIsNotAuthenticated - Kerberos authentication attempt failed.
AADSTS81005,DesktopSsoAuthenticationPackageNotSupported,DesktopSsoAuthenticationPackageNotSupported - The authentication package is not supported.
AADSTS81006,DesktopSsoNoAuthorizationHeader,DesktopSsoNoAuthorizationHeader - No authorization header was found.
AADSTS81007,DesktopSsoTenantIsNotOptIn,DesktopSsoTenantIsNotOptIn - The tenant is not enabled for Seamless SSO.
AADSTS81009,DesktopSsoAuthorizationHeaderValueWithBadFormat,DesktopSsoAuthorizationHeaderValueWithBadFormat - Unable to validate user's Kerberos ticket.
AADSTS81010,DesktopSsoAuthTokenInvalid,DesktopSsoAuthTokenInvalid - Seamless SSO failed because the user's Kerberos ticket has expired or is invalid.
AADSTS81011,DesktopSsoLookupUserBySidFailed,DesktopSsoLookupUserBySidFailed - Unable to find user object based on information in the user's Kerberos ticket.
AADSTS81012,DesktopSsoMismatchBetweenTokenUpnAndChosenUpn,DesktopSsoMismatchBetweenTokenUpnAndChosenUpn - The user trying to sign in to Azure AD is different from the user signed into the device.
AADSTS90002,InvalidTenantName,InvalidTenantName - The tenant name wasn't found in the data store. Check to make sure you have the correct tenant ID.
AADSTS90004,InvalidRequestFormat,InvalidRequestFormat - The request is not properly formatted.
AADSTS90005,InvalidRequestWithMultipleRequirements,InvalidRequestWithMultipleRequirements - Unable to complete the request. The request is not valid because the identifier and login hint can't be used together.
AADSTS90006,ExternalServerRetryableError,ExternalServerRetryableError - The service is temporarily unavailable.
AADSTS90007,InvalidSessionId,InvalidSessionId - Bad request. The passed session ID can't be parsed.
AADSTS90008,TokenForItselfRequiresGraphPermission,"TokenForItselfRequiresGraphPermission - The user or administrator hasn't consented to use the application. At the minimum, the application requires access to Azure AD by specifying the sign-in and read user profile permission."
AADSTS90009,TokenForItselfMissingIdenticalAppIdentifier,TokenForItselfMissingIdenticalAppIdentifier - The application is requesting a token for itself. This scenario is supported only if the resource that's specified is using the GUID-based application ID.
AADSTS90010,NotSupported,NotSupported - Unable to create the algorithm.
AADSTS9001023,The grant type is not supported over the /common or /consumers endpoints,The grant type is not supported over the /common or /consumers endpoints. Please use the /organizations or tenant-specific endpoint.
AADSTS90012,RequestTimeout,RequestTimeout - The requested has timed out.
AADSTS90013,InvalidUserInput,InvalidUserInput - The input from the user is not valid.
AADSTS90014,MissingRequiredField,MissingRequiredField - This error code may appear in various cases when an expected field is not present in the credential.
AADSTS900144,The request body must contain the following parameter: '{name}',The request body must contain the following parameter: '{name}'. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
AADSTS90015,QueryStringTooLong,QueryStringTooLong - The query string is too long.
AADSTS90016,MissingRequiredClaim,MissingRequiredClaim - The access token isn't valid. The required claim is missing.
AADSTS90019,MissingTenantRealm,MissingTenantRealm - Azure AD was unable to determine the tenant identifier from the request.
AADSTS90020,The SAML 1,The SAML 1.1 Assertion is missing ImmutableID of the user. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
AADSTS90022,AuthenticatedInvalidPrincipalNameFormat,"AuthenticatedInvalidPrincipalNameFormat - The principal name format is not valid, or does not meet the expected name[/host][@realm] format. The principal name is required, host and realm are optional and may be set to null."
AADSTS90023,InvalidRequest,InvalidRequest - The authentication service request is not valid.
AADSTS9002313,InvalidRequest,InvalidRequest - Request is malformed or invalid. - The issue here is because there was something wrong with the request to a certain endpoint. The suggestion to this issue is to get a fiddler trace of the error occurring and looking to see if the request is actually properly formatted or not.
AADSTS9002332,Application '{principalId}'({principalName}) is configured for use by Azure Active Directory users only,Application '{principalId}'({principalName}) is configured for use by Azure Active Directory users only. Please do not use the /consumers endpoint to serve this request.
AADSTS90024,RequestBudgetExceededError,RequestBudgetExceededError - A transient error has occurred. Try again.
AADSTS90027,We are unable to issue tokens from this API version on the MSA tenant,We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this.
AADSTS90033,MsodsServiceUnavailable,MsodsServiceUnavailable - The Microsoft Online Directory Service (MSODS) is not available.
AADSTS90036,MsodsServiceUnretryableFailure,"MsodsServiceUnretryableFailure - An unexpected, non-retryable error from the WCF service hosted by MSODS has occurred. Open a support ticket to get more details on the error."
AADSTS90038,NationalCloudTenantRedirection,NationalCloudTenantRedirection - The specified tenant 'Y' belongs to the National Cloud 'X'. Current cloud instance 'Z' does not federate with X. A cloud redirect error is returned.
AADSTS900382,Confidential Client is not supported in Cross Cloud request,Confidential Client is not supported in Cross Cloud request.
AADSTS90043,NationalCloudAuthCodeRedirection,NationalCloudAuthCodeRedirection - The feature is disabled.
AADSTS900432,Confidential Client is not supported in Cross Cloud request,Confidential Client is not supported in Cross Cloud request.
AADSTS90051,InvalidNationalCloudId,InvalidNationalCloudId - The national cloud identifier contains an invalid cloud identifier.
AADSTS90055,TenantThrottlingError,TenantThrottlingError - There are too many incoming requests. This exception is thrown for blocked tenants.
AADSTS90056,BadResourceRequest,"BadResourceRequest - To redeem the code for an access token, the app should send a POST request to the /token endpoint. Also, prior to this, you should provide an authorization code and send it in the POST request to the /token endpoint. Refer to this article for an overview of OAuth 2.0 authorization code flow: ../azuread-dev/v1-protocols-oauth-code.md. Direct the user to the /authorize endpoint, which will return an authorization_code. By posting a request to the /token endpoint, the user gets the access token. Log in the Azure portal, and check App registrations > Endpoints to confirm that the two endpoints were configured correctly."
AADSTS90072,PassThroughUserMfaError,"PassThroughUserMfaError - The external account that the user signs in with doesn't exist on the tenant that they signed into; so the user can't satisfy the MFA requirements for the tenant. This error also might occur if the users are synced, but there is a mismatch in the ImmutableID (sourceAnchor) attribute between Active Directory and Azure AD. The account must be added as an external user in the tenant first. Sign out and sign in with a different Azure AD user account."
AADSTS90081,OrgIdWsFederationMessageInvalid,OrgIdWsFederationMessageInvalid - An error occurred when the service tried to process a WS-Federation message. The message is not valid.
AADSTS90082,OrgIdWsFederationNotSupported,OrgIdWsFederationNotSupported - The selected authentication policy for the request isn't currently supported.
AADSTS90084,OrgIdWsFederationGuestNotAllowed,OrgIdWsFederationGuestNotAllowed - Guest accounts aren't allowed for this site.
AADSTS90085,OrgIdWsFederationSltRedemptionFailed,OrgIdWsFederationSltRedemptionFailed - The service is unable to issue a token because the company object hasn't been provisioned yet.
AADSTS90086,OrgIdWsTrustDaTokenExpired,OrgIdWsTrustDaTokenExpired - The user DA token is expired.
AADSTS90087,OrgIdWsFederationMessageCreationFromUriFailed,OrgIdWsFederationMessageCreationFromUriFailed - An error occurred while creating the WS-Federation message from the URI.
AADSTS90090,GraphRetryableError,GraphRetryableError - The service is temporarily unavailable.
AADSTS90091,GraphServiceUnreachable,GraphServiceUnreachable
AADSTS90092,GraphNonRetryableError,GraphNonRetryableError
AADSTS90093,GraphUserUnauthorized,GraphUserUnauthorized - Graph returned with a forbidden error code for the request.
AADSTS90094,AdminConsentRequired,AdminConsentRequired - Administrator consent is required.
AADSTS90095,AdminConsentRequiredRequestAccess,"AdminConsentRequiredRequestAccess- In the Admin Consent Workflow experience, an interrupt that appears when the user is told they need to ask the admin for consent."
AADSTS900971,No reply address provided,No reply address provided.
AADSTS90099,The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}',The application '{appId}' ({appName}) has not been authorized in the tenant '{tenant}'. Applications must be authorized to access the customer tenant before partner delegated administrators can use them. Provide pre-consent or execute the appropriate Partner Center API to authorize the application.
AADSTS90100,InvalidRequestParameter,InvalidRequestParameter - The parameter is empty or not valid.
AADSTS901002,AADSTS901002: The 'resource' request parameter is not supported,AADSTS901002: The 'resource' request parameter is not supported.
AADSTS90101,InvalidEmailAddress,InvalidEmailAddress - The supplied data isn't a valid email address. The email address must be in the format someone@example.com.
AADSTS90102,InvalidUriParameter,InvalidUriParameter - The value must be a valid absolute URI.
AADSTS90107,InvalidXml,InvalidXml - The request is not valid. Make sure your data doesn't have invalid characters.
AADSTS90114,InvalidExpiryDate,InvalidExpiryDate - The bulk token expiration timestamp will cause an expired token to be issued.
AADSTS90117,InvalidRequestInput,InvalidRequestInput
AADSTS90119,InvalidUserCode,InvalidUserCode - The user code is null or empty.
AADSTS90120,InvalidDeviceFlowRequest,InvalidDeviceFlowRequest - The request was already authorized or declined.
AADSTS90121,InvalidEmptyRequest,InvalidEmptyRequest - Invalid empty request.
AADSTS90123,IdentityProviderAccessDenied,IdentityProviderAccessDenied - The token can't be issued because the identity or claim issuance provider denied the request.
AADSTS90124,V1ResourceV2GlobalEndpointNotSupported,V1ResourceV2GlobalEndpointNotSupported - The resource is not supported over the /common or /consumers endpoints. Use the /organizations or tenant-specific endpoint instead.
AADSTS90125,DebugModeEnrollTenantNotFound,DebugModeEnrollTenantNotFound - The user isn't in the system. Make sure you entered the user name correctly.
AADSTS90126,DebugModeEnrollTenantNotInferred,DebugModeEnrollTenantNotInferred - The user type is not supported on this endpoint. The system can't infer the user's tenant from the user name.
AADSTS90130,NonConvergedAppV2GlobalEndpointNotSupported,NonConvergedAppV2GlobalEndpointNotSupported - The application is not supported over the /common or /consumers endpoints. Use the /organizations or tenant-specific endpoint instead.
,The subject name of the signing certificate is not authorized,The subject name of the signing certificate is not authorized
,A matching trusted authority policy was not found for the authorized subject name,A matching trusted authority policy was not found for the authorized subject name
,The certificate chain is not valid,The certificate chain is not valid
,The signing certificate is not valid,The signing certificate is not valid
,Policy is not configured on the tenant,Policy is not configured on the tenant
,Thumbprint of the signing certificate is not authorized,Thumbprint of the signing certificate is not authorized
,Client assertion contains an invalid signature,Client assertion contains an invalid signature
,Cannot find issuing certificate in trusted certificates list,Cannot find issuing certificate in trusted certificates list
,Unable to find expected CrlSegment,Unable to find expected CrlSegment
,Cannot find issuing certificate in trusted certificates list,Cannot find issuing certificate in trusted certificates list
,Delta CRL distribution point is configured without a corresponding CRL distribution point,Delta CRL distribution point is configured without a corresponding CRL distribution point
,Unable to retrieve valid CRL segments because of a timeout issue,Unable to retrieve valid CRL segments because of a timeout issue
,Unable to download CRL,Unable to download CRL
,Contact the tenant admin,Contact the tenant admin.
,"doesn't contain nonce claim, sub claim","doesn't contain nonce claim, sub claim"
,subject identifier mismatch,subject identifier mismatch
,duplicate claim in idToken claims,duplicate claim in idToken claims
,unexpected issuer,unexpected issuer
,unexpected audience,unexpected audience
,not within its valid time range,not within its valid time range
,token format is not proper,token format is not proper
,External ID token from issuer failed signature verification,External ID token from issuer failed signature verification.
,IdsLocked,IdsLocked - The account is locked because the user tried to sign in too many times with an incorrect user ID or password. The user is blocked due to repeated sign-in attempts. See Remediate risks and unblock users.
,"Or, sign","Or, sign-in was blocked because it came from an IP address with malicious activity."
,,
,"To determine which failure reason caused this error, sign in to the Azure portal. Navigate to your Azure AD tenant and then Monitoring ","To determine which failure reason caused this error, sign in to the Azure portal. Navigate to your Azure AD tenant and then Monitoring -> Sign-ins. Find the failed user sign-in with Sign-in error code 50053 and check the Failure reason."
,"If this error is encountered in an SSO context where the user has previously signed in, this means that the SSO session was either not found or invalid.","If this error is encountered in an SSO context where the user has previously signed in, this means that the SSO session was either not found or invalid."
,This error may be returned to the application if prompt=none is specified.,This error may be returned to the application if prompt=none is specified.
,http://,http://
,https://,https://
,msauth://(iOS only),msauth://(iOS only)
,msauthv2://(iOS only),msauthv2://(iOS only)
,chrome,chrome-extension:// (desktop Chrome browser only)
,Token binding header is empty,Token binding header is empty
,Token binding hash does not match,Token binding hash does not match
,response type 'token' is not enabled for the app,response type 'token' is not enabled for the app
,response type 'id_token' requires the 'OpenID' scope ,response type 'id_token' requires the 'OpenID' scope -contains an unsupported OAuth parameter value in the encoded wctx
